lga_code,lga_name,SEQ,2021_dw,2026_dw,2031_dw,2036_dw,2041_dw,2046_dw,2021_incr,2022_incr,2023_incr,2024_incr,2025_incr,2026_incr,2027_incr,2028_incr,2029_incr,2030_incr,2031_incr,2032_incr,2033_incr,2034_incr,2035_incr,2036_incr,2037_incr,2038_incr,2039_incr,2040_incr,2041_incr,2042_incr,2043_incr,2044_incr,2045_incr,det_pct,med_pct,high_pct,2021_incr_det,2021_incr_med,2021_incr_high,2022_incr_det,2022_incr_med,2022_incr_high,2023_incr_det,2023_incr_med,2023_incr_high,2024_incr_det,2024_incr_med,2024_incr_high,2025_incr_det,2025_incr_med,2025_incr_high,2026_incr_det,2026_incr_med,2026_incr_high,2027_incr_det,2027_incr_med,2027_incr_high,2028_incr_det,2028_incr_med,2028_incr_high,2029_incr_det,2029_incr_med,2029_incr_high,2030_incr_det,2030_incr_med,2030_incr_high,2031_incr_det,2031_incr_med,2031_incr_high,2032_incr_det,2032_incr_med,2032_incr_high,2033_incr_det,2033_incr_med,2033_incr_high,2034_incr_det,2034_incr_med,2034_incr_high,2035_incr_det,2035_incr_med,2035_incr_high,2036_incr_det,2036_incr_med,2036_incr_high,2037_incr_det,2037_incr_med,2037_incr_high,2038_incr_det,2038_incr_med,2038_incr_high,2039_incr_det,2039_incr_med,2039_incr_high,2040_incr_det,2040_incr_med,2040_incr_high,2041_incr_det,2041_incr_med,2041_incr_high,2042_incr_det,2042_incr_med,2042_incr_high,2043_incr_det,2043_incr_med,2043_incr_high,2044_incr_det,2044_incr_med,2044_incr_high,2045_incr_det,2045_incr_med,2045_incr_high
30250.0,Aurukun,False,331.0,381.0,389.0,398.0,404.0,408.0,10.0,10.0,10.0,10.0,10.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
30300.0,Balonne,False,2057.0,2070.0,2076.0,2065.0,2041.0,2010.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,-2.0,-2.0,-2.0,-2.0,-2.0,-5.0,-5.0,-5.0,-5.0,-5.0,-6.0,-6.0,-6.0,-6.0,-6.0,1.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30370.0,Banana,False,6846.0,6967.0,7017.0,7015.0,6994.0,6962.0,24.0,24.0,24.0,24.0,24.0,10.0,10.0,10.0,10.0,10.0,-0.0,-0.0,-0.0,-0.0,-0.0,-4.0,-4.0,-4.0,-4.0,-4.0,-6.0,-6.0,-6.0,-6.0,-6.0,1.0,0.0,0.0,24.0,0.0,0.0,24.0,0.0,0.0,24.0,0.0,0.0,24.0,0.0,0.0,24.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30410.0,Barcaldine,False,1566.0,1562.0,1543.0,1526.0,1494.0,1454.0,-1.0,-1.0,-1.0,-1.0,-1.0,-4.0,-4.0,-4.0,-4.0,-4.0,-3.0,-3.0,-3.0,-3.0,-3.0,-6.0,-6.0,-6.0,-6.0,-6.0,-8.0,-8.0,-8.0,-8.0,-8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30450.0,Barcoo,False,177.0,179.0,177.0,176.0,173.0,169.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30760.0,Blackall Tambo,False,1040.0,1040.0,1027.0,1016.0,994.0,968.0,0.0,0.0,0.0,0.0,0.0,-3.0,-3.0,-3.0,-3.0,-3.0,-2.0,-2.0,-2.0,-2.0,-2.0,-4.0,-4.0,-4.0,-4.0,-4.0,-5.0,-5.0,-5.0,-5.0,-5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30900.0,Boulia,False,204.0,208.0,205.0,203.0,198.0,192.0,1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.0,-0.0,-0.0,-0.0,-0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31000.0,Brisbane,True,515572.0,548564.0,575936.0,604312.0,632090.0,661436.0,6598.0,6598.0,6598.0,6598.0,6598.0,5474.0,5474.0,5474.0,5474.0,5474.0,5675.0,5675.0,5675.0,5675.0,5675.0,5556.0,5556.0,5556.0,5556.0,5556.0,5869.0,5869.0,5869.0,5869.0,5869.0,0.0,0.0,0.0,2428.0,1037.0,3134.0,2428.0,1037.0,3134.0,2428.0,1037.0,3134.0,2428.0,1037.0,3134.0,2428.0,1037.0,3134.0,2015.0,860.0,2600.0,2015.0,860.0,2600.0,2015.0,860.0,2600.0,2015.0,860.0,2600.0,2015.0,860.0,2600.0,2088.0,892.0,2695.0,2088.0,892.0,2695.0,2088.0,892.0,2695.0,2088.0,892.0,2695.0,2088.0,892.0,2695.0,2044.0,873.0,2638.0,2044.0,873.0,2638.0,2044.0,873.0,2638.0,2044.0,873.0,2638.0,2044.0,873.0,2638.0,2160.0,922.0,2787.0,2160.0,922.0,2787.0,2160.0,922.0,2787.0,2160.0,922.0,2787.0,2160.0,922.0,2787.0
31750.0,Bulloo,False,143.0,144.0,142.0,140.0,136.0,131.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31820.0,Bundaberg,False,43974.0,46008.0,47820.0,49318.0,50261.0,50918.0,407.0,407.0,407.0,407.0,407.0,362.0,362.0,362.0,362.0,362.0,300.0,300.0,300.0,300.0,300.0,189.0,189.0,189.0,189.0,189.0,131.0,131.0,131.0,131.0,131.0,1.0,0.0,0.0,397.0,10.0,0.0,397.0,10.0,0.0,397.0,10.0,0.0,397.0,10.0,0.0,397.0,10.0,0.0,354.0,9.0,0.0,354.0,9.0,0.0,354.0,9.0,0.0,354.0,9.0,0.0,354.0,9.0,0.0,292.0,7.0,0.0,292.0,7.0,0.0,292.0,7.0,0.0,292.0,7.0,0.0,292.0,7.0,0.0,184.0,5.0,0.0,184.0,5.0,0.0,184.0,5.0,0.0,184.0,5.0,0.0,184.0,5.0,0.0,128.0,3.0,0.0,128.0,3.0,0.0,128.0,3.0,0.0,128.0,3.0,0.0,128.0,3.0,0.0
31900.0,Burdekin,False,7843.0,7947.0,8073.0,8190.0,8313.0,8437.0,21.0,21.0,21.0,21.0,21.0,25.0,25.0,25.0,25.0,25.0,23.0,23.0,23.0,23.0,23.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,1.0,0.0,0.0,19.0,2.0,0.0,19.0,2.0,0.0,19.0,2.0,0.0,19.0,2.0,0.0,19.0,2.0,0.0,23.0,2.0,0.0,23.0,2.0,0.0,23.0,2.0,0.0,23.0,2.0,0.0,23.0,2.0,0.0,21.0,2.0,0.0,21.0,2.0,0.0,21.0,2.0,0.0,21.0,2.0,0.0,21.0,2.0,0.0,23.0,2.0,0.0,23.0,2.0,0.0,23.0,2.0,0.0,23.0,2.0,0.0,23.0,2.0,0.0,23.0,2.0,0.0,23.0,2.0,0.0,23.0,2.0,0.0,23.0,2.0,0.0,23.0,2.0,0.0
31950.0,Burke,False,177.0,180.0,183.0,185.0,187.0,190.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
32080.0,Cairns,False,70476.0,75376.0,80543.0,85408.0,89524.0,93370.0,980.0,980.0,980.0,980.0,980.0,1033.0,1033.0,1033.0,1033.0,1033.0,973.0,973.0,973.0,973.0,973.0,823.0,823.0,823.0,823.0,823.0,769.0,769.0,769.0,769.0,769.0,1.0,0.0,0.0,873.0,47.0,59.0,873.0,47.0,59.0,873.0,47.0,59.0,873.0,47.0,59.0,873.0,47.0,59.0,921.0,50.0,62.0,921.0,50.0,62.0,921.0,50.0,62.0,921.0,50.0,62.0,921.0,50.0,62.0,867.0,47.0,59.0,867.0,47.0,59.0,867.0,47.0,59.0,867.0,47.0,59.0,867.0,47.0,59.0,734.0,40.0,50.0,734.0,40.0,50.0,734.0,40.0,50.0,734.0,40.0,50.0,734.0,40.0,50.0,686.0,37.0,46.0,686.0,37.0,46.0,686.0,37.0,46.0,686.0,37.0,46.0,686.0,37.0,46.0
32250.0,Carpentaria,False,902.0,931.0,950.0,960.0,967.0,973.0,6.0,6.0,6.0,6.0,6.0,4.0,4.0,4.0,4.0,4.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,6.0,0.0,0.0,6.0,0.0,0.0,6.0,0.0,0.0,6.0,0.0,0.0,6.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
32260.0,Cassowary Coast,False,13775.0,14544.0,15185.0,15856.0,16513.0,17156.0,154.0,154.0,154.0,154.0,154.0,128.0,128.0,128.0,128.0,128.0,134.0,134.0,134.0,134.0,134.0,131.0,131.0,131.0,131.0,131.0,129.0,129.0,129.0,129.0,129.0,1.0,0.0,0.0,142.0,12.0,0.0,142.0,12.0,0.0,142.0,12.0,0.0,142.0,12.0,0.0,142.0,12.0,0.0,119.0,10.0,0.0,119.0,10.0,0.0,119.0,10.0,0.0,119.0,10.0,0.0,119.0,10.0,0.0,124.0,10.0,0.0,124.0,10.0,0.0,124.0,10.0,0.0,124.0,10.0,0.0,124.0,10.0,0.0,122.0,10.0,0.0,122.0,10.0,0.0,122.0,10.0,0.0,122.0,10.0,0.0,122.0,10.0,0.0,119.0,10.0,0.0,119.0,10.0,0.0,119.0,10.0,0.0,119.0,10.0,0.0,119.0,10.0,0.0
32270.0,Central Highlands (Qld),False,13136.0,13824.0,14325.0,14821.0,15342.0,15877.0,138.0,138.0,138.0,138.0,138.0,100.0,100.0,100.0,100.0,100.0,99.0,99.0,99.0,99.0,99.0,104.0,104.0,104.0,104.0,104.0,107.0,107.0,107.0,107.0,107.0,1.0,0.0,0.0,133.0,4.0,0.0,133.0,4.0,0.0,133.0,4.0,0.0,133.0,4.0,0.0,133.0,4.0,0.0,97.0,3.0,0.0,97.0,3.0,0.0,97.0,3.0,0.0,97.0,3.0,0.0,97.0,3.0,0.0,96.0,3.0,0.0,96.0,3.0,0.0,96.0,3.0,0.0,96.0,3.0,0.0,96.0,3.0,0.0,101.0,3.0,0.0,101.0,3.0,0.0,101.0,3.0,0.0,101.0,3.0,0.0,101.0,3.0,0.0,104.0,3.0,0.0,104.0,3.0,0.0,104.0,3.0,0.0,104.0,3.0,0.0,104.0,3.0,0.0
32310.0,Charters Towers,False,5368.0,5459.0,5550.0,5637.0,5722.0,5795.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,15.0,15.0,15.0,15.0,15.0,1.0,0.0,0.0,12.0,7.0,0.0,12.0,7.0,0.0,12.0,7.0,0.0,12.0,7.0,0.0,12.0,7.0,0.0,12.0,7.0,0.0,12.0,7.0,0.0,12.0,7.0,0.0,12.0,7.0,0.0,12.0,7.0,0.0,11.0,6.0,0.0,11.0,6.0,0.0,11.0,6.0,0.0,11.0,6.0,0.0,11.0,6.0,0.0,11.0,6.0,0.0,11.0,6.0,0.0,11.0,6.0,0.0,11.0,6.0,0.0,11.0,6.0,0.0,9.0,5.0,0.0,9.0,5.0,0.0,9.0,5.0,0.0,9.0,5.0,0.0,9.0,5.0,0.0
32330.0,Cherbourg,False,321.0,338.0,358.0,380.0,403.0,428.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,5.0,0.0,0.0,5.0,0.0,0.0,5.0,0.0,0.0,5.0,0.0,0.0,5.0,0.0,0.0,5.0,0.0,0.0,5.0,0.0,0.0,5.0,0.0,0.0,5.0,0.0,0.0,5.0,0.0,0.0
32450.0,Cloncurry,False,1423.0,1496.0,1563.0,1548.0,1518.0,1483.0,15.0,15.0,15.0,15.0,15.0,13.0,13.0,13.0,13.0,13.0,-3.0,-3.0,-3.0,-3.0,-3.0,-6.0,-6.0,-6.0,-6.0,-6.0,-7.0,-7.0,-7.0,-7.0,-7.0,1.0,0.0,0.0,9.0,5.0,0.0,9.0,5.0,0.0,9.0,5.0,0.0,9.0,5.0,0.0,9.0,5.0,0.0,9.0,5.0,0.0,9.0,5.0,0.0,9.0,5.0,0.0,9.0,5.0,0.0,9.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32500.0,Cook,False,2003.0,2136.0,2163.0,2189.0,2189.0,2181.0,27.0,27.0,27.0,27.0,27.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,1.0,0.0,0.0,24.0,2.0,0.0,24.0,2.0,0.0,24.0,2.0,0.0,24.0,2.0,0.0,24.0,2.0,0.0,5.0,0.0,0.0,5.0,0.0,0.0,5.0,0.0,0.0,5.0,0.0,0.0,5.0,0.0,0.0,5.0,0.0,0.0,5.0,0.0,0.0,5.0,0.0,0.0,5.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32600.0,Croydon,False,138.0,134.0,132.0,131.0,129.0,126.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32750.0,Diamantina,False,174.0,176.0,175.0,173.0,171.0,167.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32770.0,Doomadgee,False,361.0,377.0,379.0,381.0,382.0,384.0,3.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32810.0,Douglas,False,6132.0,6724.0,7268.0,7766.0,8228.0,8667.0,118.0,118.0,118.0,118.0,118.0,109.0,109.0,109.0,109.0,109.0,100.0,100.0,100.0,100.0,100.0,92.0,92.0,92.0,92.0,92.0,88.0,88.0,88.0,88.0,88.0,1.0,0.0,0.0,118.0,0.0,0.0,118.0,0.0,0.0,118.0,0.0,0.0,118.0,0.0,0.0,118.0,0.0,0.0,109.0,0.0,0.0,109.0,0.0,0.0,109.0,0.0,0.0,109.0,0.0,0.0,109.0,0.0,0.0,100.0,0.0,0.0,100.0,0.0,0.0,100.0,0.0,0.0,100.0,0.0,0.0,100.0,0.0,0.0,92.0,0.0,0.0,92.0,0.0,0.0,92.0,0.0,0.0,92.0,0.0,0.0,92.0,0.0,0.0,88.0,0.0,0.0,88.0,0.0,0.0,88.0,0.0,0.0,88.0,0.0,0.0,88.0,0.0,0.0
33100.0,Etheridge,False,257.0,256.0,253.0,250.0,244.0,237.0,-0.0,-0.0,-0.0,-0.0,-0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
