lga_code,lga_name,SEQ,2021_dw,2026_dw,2031_dw,2036_dw,2041_dw,2046_dw,2021_incr,2022_incr,2023_incr,2024_incr,2025_incr,2026_incr,2027_incr,2028_incr,2029_incr,2030_incr,2031_incr,2032_incr,2033_incr,2034_incr,2035_incr,2036_incr,2037_incr,2038_incr,2039_incr,2040_incr,2041_incr,2042_incr,2043_incr,2044_incr,2045_incr
30250.0,Aurukun,False,331.0,381.0,389.0,398.0,404.0,408.0,10.0,10.0,10.0,10.0,10.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
30300.0,Balonne,False,2057.0,2070.0,2076.0,2065.0,2041.0,2010.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,-2.0,-2.0,-2.0,-2.0,-2.0,-5.0,-5.0,-5.0,-5.0,-5.0,-6.0,-6.0,-6.0,-6.0,-6.0
30370.0,Banana,False,6846.0,6967.0,7017.0,7015.0,6994.0,6962.0,24.0,24.0,24.0,24.0,24.0,10.0,10.0,10.0,10.0,10.0,-0.0,-0.0,-0.0,-0.0,-0.0,-4.0,-4.0,-4.0,-4.0,-4.0,-6.0,-6.0,-6.0,-6.0,-6.0
30410.0,Barcaldine,False,1566.0,1562.0,1543.0,1526.0,1494.0,1454.0,-1.0,-1.0,-1.0,-1.0,-1.0,-4.0,-4.0,-4.0,-4.0,-4.0,-3.0,-3.0,-3.0,-3.0,-3.0,-6.0,-6.0,-6.0,-6.0,-6.0,-8.0,-8.0,-8.0,-8.0,-8.0
30450.0,Barcoo,False,177.0,179.0,177.0,176.0,173.0,169.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
30760.0,Blackall Tambo,False,1040.0,1040.0,1027.0,1016.0,994.0,968.0,0.0,0.0,0.0,0.0,0.0,-3.0,-3.0,-3.0,-3.0,-3.0,-2.0,-2.0,-2.0,-2.0,-2.0,-4.0,-4.0,-4.0,-4.0,-4.0,-5.0,-5.0,-5.0,-5.0,-5.0
30900.0,Boulia,False,204.0,208.0,205.0,203.0,198.0,192.0,1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.0,-0.0,-0.0,-0.0,-0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
31000.0,Brisbane,True,515572.0,548564.0,575936.0,604312.0,632090.0,661436.0,6598.0,6598.0,6598.0,6598.0,6598.0,5474.0,5474.0,5474.0,5474.0,5474.0,5675.0,5675.0,5675.0,5675.0,5675.0,5556.0,5556.0,5556.0,5556.0,5556.0,5869.0,5869.0,5869.0,5869.0,5869.0
31750.0,Bulloo,False,143.0,144.0,142.0,140.0,136.0,131.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
31820.0,Bundaberg,False,43974.0,46008.0,47820.0,49318.0,50261.0,50918.0,407.0,407.0,407.0,407.0,407.0,362.0,362.0,362.0,362.0,362.0,300.0,300.0,300.0,300.0,300.0,189.0,189.0,189.0,189.0,189.0,131.0,131.0,131.0,131.0,131.0
31900.0,Burdekin,False,7843.0,7947.0,8073.0,8190.0,8313.0,8437.0,21.0,21.0,21.0,21.0,21.0,25.0,25.0,25.0,25.0,25.0,23.0,23.0,23.0,23.0,23.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0
31950.0,Burke,False,177.0,180.0,183.0,185.0,187.0,190.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
32080.0,Cairns,False,70476.0,75376.0,80543.0,85408.0,89524.0,93370.0,980.0,980.0,980.0,980.0,980.0,1033.0,1033.0,1033.0,1033.0,1033.0,973.0,973.0,973.0,973.0,973.0,823.0,823.0,823.0,823.0,823.0,769.0,769.0,769.0,769.0,769.0
32250.0,Carpentaria,False,902.0,931.0,950.0,960.0,967.0,973.0,6.0,6.0,6.0,6.0,6.0,4.0,4.0,4.0,4.0,4.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
32260.0,Cassowary Coast,False,13775.0,14544.0,15185.0,15856.0,16513.0,17156.0,154.0,154.0,154.0,154.0,154.0,128.0,128.0,128.0,128.0,128.0,134.0,134.0,134.0,134.0,134.0,131.0,131.0,131.0,131.0,131.0,129.0,129.0,129.0,129.0,129.0
32270.0,Central Highlands (Qld),False,13136.0,13824.0,14325.0,14821.0,15342.0,15877.0,138.0,138.0,138.0,138.0,138.0,100.0,100.0,100.0,100.0,100.0,99.0,99.0,99.0,99.0,99.0,104.0,104.0,104.0,104.0,104.0,107.0,107.0,107.0,107.0,107.0
32310.0,Charters Towers,False,5368.0,5459.0,5550.0,5637.0,5722.0,5795.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,15.0,15.0,15.0,15.0,15.0
32330.0,Cherbourg,False,321.0,338.0,358.0,380.0,403.0,428.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
32450.0,Cloncurry,False,1423.0,1496.0,1563.0,1548.0,1518.0,1483.0,15.0,15.0,15.0,15.0,15.0,13.0,13.0,13.0,13.0,13.0,-3.0,-3.0,-3.0,-3.0,-3.0,-6.0,-6.0,-6.0,-6.0,-6.0,-7.0,-7.0,-7.0,-7.0,-7.0
32500.0,Cook,False,2003.0,2136.0,2163.0,2189.0,2189.0,2181.0,27.0,27.0,27.0,27.0,27.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0
32600.0,Croydon,False,138.0,134.0,132.0,131.0,129.0,126.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-1.0,-1.0,-1.0,-1.0,-1.0
32750.0,Diamantina,False,174.0,176.0,175.0,173.0,171.0,167.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-1.0,-1.0,-1.0,-1.0,-1.0
32770.0,Doomadgee,False,361.0,377.0,379.0,381.0,382.0,384.0,3.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32810.0,Douglas,False,6132.0,6724.0,7268.0,7766.0,8228.0,8667.0,118.0,118.0,118.0,118.0,118.0,109.0,109.0,109.0,109.0,109.0,100.0,100.0,100.0,100.0,100.0,92.0,92.0,92.0,92.0,92.0,88.0,88.0,88.0,88.0,88.0
33100.0,Etheridge,False,257.0,256.0,253.0,250.0,244.0,237.0,-0.0,-0.0,-0.0,-0.0,-0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
33200.0,Flinders (Qld),False,836.0,853.0,872.0,862.0,844.0,825.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,-2.0,-2.0,-2.0,-2.0,-2.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0
33220.0,Fraser Coast,False,50408.0,54015.0,56865.0,58911.0,60154.0,60973.0,721.0,721.0,721.0,721.0,721.0,570.0,570.0,570.0,570.0,570.0,409.0,409.0,409.0,409.0,409.0,249.0,249.0,249.0,249.0,249.0,164.0,164.0,164.0,164.0,164.0
33360.0,Gladstone,False,28515.0,30329.0,31856.0,33335.0,34693.0,35940.0,363.0,363.0,363.0,363.0,363.0,305.0,305.0,305.0,305.0,305.0,296.0,296.0,296.0,296.0,296.0,272.0,272.0,272.0,272.0,272.0,249.0,249.0,249.0,249.0,249.0
33430.0,Gold Coast,True,266977.0,302667.0,334522.0,366595.0,397150.0,426628.0,7138.0,7138.0,7138.0,7138.0,7138.0,6371.0,6371.0,6371.0,6371.0,6371.0,6415.0,6415.0,6415.0,6415.0,6415.0,6111.0,6111.0,6111.0,6111.0,6111.0,5896.0,5896.0,5896.0,5896.0,5896.0
33610.0,Goondiwindi,False,4676.0,4676.0,4688.0,4664.0,4609.0,4541.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,-5.0,-5.0,-5.0,-5.0,-5.0,-11.0,-11.0,-11.0,-11.0,-11.0,-14.0,-14.0,-14.0,-14.0,-14.0
33620.0,Gympie,False,23767.0,25610.0,26574.0,27309.0,27869.0,28260.0,369.0,369.0,369.0,369.0,369.0,193.0,193.0,193.0,193.0,193.0,147.0,147.0,147.0,147.0,147.0,112.0,112.0,112.0,112.0,112.0,78.0,78.0,78.0,78.0,78.0
33800.0,Hinchinbrook,False,5622.0,5789.0,5813.0,5830.0,5836.0,5833.0,33.0,33.0,33.0,33.0,33.0,5.0,5.0,5.0,5.0,5.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0
33830.0,Hope Vale,False,332.0,357.0,367.0,373.0,378.0,382.0,5.0,5.0,5.0,5.0,5.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
33960.0,Ipswich,True,86758.0,103934.0,125811.0,152522.0,181038.0,209404.0,3435.0,3435.0,3435.0,3435.0,3435.0,4375.0,4375.0,4375.0,4375.0,4375.0,5342.0,5342.0,5342.0,5342.0,5342.0,5703.0,5703.0,5703.0,5703.0,5703.0,5673.0,5673.0,5673.0,5673.0,5673.0
33980.0,Isaac,False,10327.0,10709.0,11053.0,11462.0,11889.0,12338.0,76.0,76.0,76.0,76.0,76.0,69.0,69.0,69.0,69.0,69.0,82.0,82.0,82.0,82.0,82.0,85.0,85.0,85.0,85.0,85.0,90.0,90.0,90.0,90.0,90.0
34420.0,Kowanyama,False,294.0,314.0,332.0,348.0,358.0,364.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0
34530.0,Livingstone,False,16708.0,18355.0,20768.0,22981.0,24745.0,25852.0,329.0,329.0,329.0,329.0,329.0,483.0,483.0,483.0,483.0,483.0,443.0,443.0,443.0,443.0,443.0,353.0,353.0,353.0,353.0,353.0,221.0,221.0,221.0,221.0,221.0
34570.0,Lockhart River,False,214.0,214.0,214.0,214.0,214.0,214.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34580.0,Lockyer Valley,True,15924.0,17317.0,18621.0,19974.0,21360.0,22768.0,279.0,279.0,279.0,279.0,279.0,261.0,261.0,261.0,261.0,261.0,271.0,271.0,271.0,271.0,271.0,277.0,277.0,277.0,277.0,277.0,282.0,282.0,282.0,282.0,282.0
34590.0,Logan,True,125200.0,143622.0,161633.0,178428.0,189914.0,199142.0,3684.0,3684.0,3684.0,3684.0,3684.0,3602.0,3602.0,3602.0,3602.0,3602.0,3359.0,3359.0,3359.0,3359.0,3359.0,2297.0,2297.0,2297.0,2297.0,2297.0,1846.0,1846.0,1846.0,1846.0,1846.0
34710.0,Longreach,False,1797.0,1827.0,1834.0,1813.0,1773.0,1726.0,6.0,6.0,6.0,6.0,6.0,1.0,1.0,1.0,1.0,1.0,-4.0,-4.0,-4.0,-4.0,-4.0,-8.0,-8.0,-8.0,-8.0,-8.0,-9.0,-9.0,-9.0,-9.0,-9.0
34770.0,Mackay,False,50596.0,54133.0,57589.0,60986.0,63998.0,66845.0,707.0,707.0,707.0,707.0,707.0,691.0,691.0,691.0,691.0,691.0,679.0,679.0,679.0,679.0,679.0,602.0,602.0,602.0,602.0,602.0,569.0,569.0,569.0,569.0,569.0
34800.0,McKinlay,False,340.0,355.0,365.0,361.0,354.0,347.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
34830.0,Mapoon,False,105.0,112.0,117.0,119.0,123.0,127.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
34860.0,Maranoa,False,6154.0,6235.0,6250.0,6218.0,6146.0,6056.0,16.0,16.0,16.0,16.0,16.0,3.0,3.0,3.0,3.0,3.0,-6.0,-6.0,-6.0,-6.0,-6.0,-14.0,-14.0,-14.0,-14.0,-14.0,-18.0,-18.0,-18.0,-18.0,-18.0
34880.0,Mareeba,False,9338.0,9922.0,10484.0,10921.0,11257.0,11530.0,117.0,117.0,117.0,117.0,117.0,112.0,112.0,112.0,112.0,112.0,87.0,87.0,87.0,87.0,87.0,67.0,67.0,67.0,67.0,67.0,55.0,55.0,55.0,55.0,55.0
35010.0,Moreton Bay,True,186039.0,218348.0,248249.0,275248.0,301419.0,327578.0,6462.0,6462.0,6462.0,6462.0,6462.0,5980.0,5980.0,5980.0,5980.0,5980.0,5400.0,5400.0,5400.0,5400.0,5400.0,5234.0,5234.0,5234.0,5234.0,5234.0,5232.0,5232.0,5232.0,5232.0,5232.0
35250.0,Mornington,False,349.0,354.0,354.0,354.0,351.0,346.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
35300.0,Mount Isa,False,8030.0,8219.0,8288.0,8338.0,8332.0,8293.0,38.0,38.0,38.0,38.0,38.0,14.0,14.0,14.0,14.0,14.0,10.0,10.0,10.0,10.0,10.0,-1.0,-1.0,-1.0,-1.0,-1.0,-8.0,-8.0,-8.0,-8.0,-8.0
35600.0,Murweh,False,2077.0,2072.0,2048.0,2026.0,1981.0,1929.0,-1.0,-1.0,-1.0,-1.0,-1.0,-5.0,-5.0,-5.0,-5.0,-5.0,-4.0,-4.0,-4.0,-4.0,-4.0,-9.0,-9.0,-9.0,-9.0,-9.0,-10.0,-10.0,-10.0,-10.0,-10.0
35670.0,Napranum,False,261.0,270.0,277.0,282.0,286.0,290.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
35740.0,Noosa,True,28141.0,29829.0,30761.0,31535.0,32245.0,32883.0,338.0,338.0,338.0,338.0,338.0,186.0,186.0,186.0,186.0,186.0,155.0,155.0,155.0,155.0,155.0,142.0,142.0,142.0,142.0,142.0,128.0,128.0,128.0,128.0,128.0
35760.0,North Burnett,False,5140.0,5232.0,5271.0,5330.0,5373.0,5408.0,18.0,18.0,18.0,18.0,18.0,8.0,8.0,8.0,8.0,8.0,12.0,12.0,12.0,12.0,12.0,9.0,9.0,9.0,9.0,9.0,7.0,7.0,7.0,7.0,7.0
35780.0,Northern Peninsula Area,False,806.0,842.0,862.0,883.0,913.0,930.0,7.0,7.0,7.0,7.0,7.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,6.0,6.0,6.0,6.0,6.0,3.0,3.0,3.0,3.0,3.0
35790.0,Palm Island,False,517.0,552.0,595.0,669.0,778.0,926.0,7.0,7.0,7.0,7.0,7.0,9.0,9.0,9.0,9.0,9.0,15.0,15.0,15.0,15.0,15.0,22.0,22.0,22.0,22.0,22.0,30.0,30.0,30.0,30.0,30.0
35800.0,Paroo,False,989.0,981.0,969.0,959.0,939.0,915.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-4.0,-4.0,-4.0,-4.0,-4.0,-5.0,-5.0,-5.0,-5.0,-5.0
36070.0,Pormpuraaw,False,229.0,240.0,250.0,260.0,266.0,269.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
36150.0,Quilpie,False,412.0,410.0,405.0,401.0,393.0,383.0,-0.0,-0.0,-0.0,-0.0,-0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0
36250.0,Redland,True,64740.0,70547.0,74718.0,77890.0,80301.0,81411.0,1161.0,1161.0,1161.0,1161.0,1161.0,834.0,834.0,834.0,834.0,834.0,634.0,634.0,634.0,634.0,634.0,482.0,482.0,482.0,482.0,482.0,222.0,222.0,222.0,222.0,222.0
36300.0,Richmond,False,368.0,380.0,390.0,386.0,378.0,370.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,-1.0,-1.0,-1.0,-1.0,-1.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0
36370.0,Rockhampton,False,35144.0,36546.0,38117.0,39602.0,40834.0,42178.0,280.0,280.0,280.0,280.0,280.0,314.0,314.0,314.0,314.0,314.0,297.0,297.0,297.0,297.0,297.0,246.0,246.0,246.0,246.0,246.0,269.0,269.0,269.0,269.0,269.0
36510.0,Scenic Rim,True,17992.0,19773.0,21399.0,22511.0,23325.0,23952.0,356.0,356.0,356.0,356.0,356.0,325.0,325.0,325.0,325.0,325.0,222.0,222.0,222.0,222.0,222.0,163.0,163.0,163.0,163.0,163.0,125.0,125.0,125.0,125.0,125.0
36580.0,Somerset,True,10710.0,11411.0,12285.0,13166.0,14063.0,14974.0,140.0,140.0,140.0,140.0,140.0,175.0,175.0,175.0,175.0,175.0,176.0,176.0,176.0,176.0,176.0,179.0,179.0,179.0,179.0,179.0,182.0,182.0,182.0,182.0,182.0
36630.0,South Burnett,False,15666.0,16298.0,17011.0,17731.0,18411.0,19080.0,126.0,126.0,126.0,126.0,126.0,143.0,143.0,143.0,143.0,143.0,144.0,144.0,144.0,144.0,144.0,136.0,136.0,136.0,136.0,136.0,134.0,134.0,134.0,134.0,134.0
36660.0,Southern Downs,False,17037.0,17450.0,17986.0,18406.0,18612.0,18685.0,83.0,83.0,83.0,83.0,83.0,107.0,107.0,107.0,107.0,107.0,84.0,84.0,84.0,84.0,84.0,41.0,41.0,41.0,41.0,41.0,15.0,15.0,15.0,15.0,15.0
36720.0,Sunshine Coast,True,145694.0,165627.0,183829.0,201850.0,218561.0,234421.0,3987.0,3987.0,3987.0,3987.0,3987.0,3640.0,3640.0,3640.0,3640.0,3640.0,3604.0,3604.0,3604.0,3604.0,3604.0,3342.0,3342.0,3342.0,3342.0,3342.0,3172.0,3172.0,3172.0,3172.0,3172.0
36820.0,Tablelands,False,12181.0,12935.0,13613.0,14242.0,14808.0,15330.0,151.0,151.0,151.0,151.0,151.0,136.0,136.0,136.0,136.0,136.0,126.0,126.0,126.0,126.0,126.0,113.0,113.0,113.0,113.0,113.0,104.0,104.0,104.0,104.0,104.0
36910.0,Toowoomba,True,73081.0,76947.0,81202.0,85039.0,88193.0,90962.0,773.0,773.0,773.0,773.0,773.0,851.0,851.0,851.0,851.0,851.0,767.0,767.0,767.0,767.0,767.0,631.0,631.0,631.0,631.0,631.0,554.0,554.0,554.0,554.0,554.0
36950.0,Torres,False,1188.0,1231.0,1267.0,1295.0,1304.0,1300.0,9.0,9.0,9.0,9.0,9.0,7.0,7.0,7.0,7.0,7.0,6.0,6.0,6.0,6.0,6.0,2.0,2.0,2.0,2.0,2.0,-1.0,-1.0,-1.0,-1.0,-1.0
36960.0,Torres Strait Island,False,1279.0,1315.0,1314.0,1312.0,1295.0,1269.0,7.0,7.0,7.0,7.0,7.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-3.0,-3.0,-3.0,-3.0,-3.0,-5.0,-5.0,-5.0,-5.0,-5.0
37010.0,Townsville,False,81634.0,86678.0,92875.0,98984.0,104590.0,109524.0,1009.0,1009.0,1009.0,1009.0,1009.0,1239.0,1239.0,1239.0,1239.0,1239.0,1222.0,1222.0,1222.0,1222.0,1222.0,1121.0,1121.0,1121.0,1121.0,1121.0,987.0,987.0,987.0,987.0,987.0
37300.0,Weipa,False,1670.0,1689.0,1695.0,1705.0,1706.0,1702.0,4.0,4.0,4.0,4.0,4.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0
37310.0,Western Downs,False,15566.0,16076.0,16605.0,16909.0,17030.0,17031.0,102.0,102.0,102.0,102.0,102.0,106.0,106.0,106.0,106.0,106.0,61.0,61.0,61.0,61.0,61.0,24.0,24.0,24.0,24.0,24.0,0.0,0.0,0.0,0.0,0.0
37340.0,Whitsunday,False,15919.0,17181.0,18438.0,19684.0,20901.0,22117.0,252.0,252.0,252.0,252.0,252.0,251.0,251.0,251.0,251.0,251.0,249.0,249.0,249.0,249.0,249.0,243.0,243.0,243.0,243.0,243.0,243.0,243.0,243.0,243.0,243.0
37400.0,Winton,False,637.0,646.0,637.0,630.0,615.0,597.0,2.0,2.0,2.0,2.0,2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-1.0,-1.0,-1.0,-1.0,-1.0,-3.0,-3.0,-3.0,-3.0,-3.0,-4.0,-4.0,-4.0,-4.0,-4.0
37550.0,Woorabinda,False,304.0,322.0,330.0,338.0,346.0,354.0,4.0,4.0,4.0,4.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
37570.0,Wujal Wujal,False,89.0,103.0,106.0,108.0,109.0,109.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37600.0,Yarrabah,False,454.0,503.0,553.0,615.0,685.0,762.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,12.0,12.0,12.0,12.0,12.0,14.0,14.0,14.0,14.0,14.0,15.0,15.0,15.0,15.0,15.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
