lga_code,lga_name,2021_incr_det_ms,2021_incr_med_ms,2021_incr_high_ms,2022_incr_det_ms,2022_incr_med_ms,2022_incr_high_ms,2023_incr_det_ms,2023_incr_med_ms,2023_incr_high_ms,2024_incr_det_ms,2024_incr_med_ms,2024_incr_high_ms,2025_incr_det_ms,2025_incr_med_ms,2025_incr_high_ms,2026_incr_det_ms,2026_incr_med_ms,2026_incr_high_ms,2027_incr_det_ms,2027_incr_med_ms,2027_incr_high_ms,2028_incr_det_ms,2028_incr_med_ms,2028_incr_high_ms,2029_incr_det_ms,2029_incr_med_ms,2029_incr_high_ms,2030_incr_det_ms,2030_incr_med_ms,2030_incr_high_ms,2031_incr_det_ms,2031_incr_med_ms,2031_incr_high_ms,2032_incr_det_ms,2032_incr_med_ms,2032_incr_high_ms,2033_incr_det_ms,2033_incr_med_ms,2033_incr_high_ms,2034_incr_det_ms,2034_incr_med_ms,2034_incr_high_ms,2035_incr_det_ms,2035_incr_med_ms,2035_incr_high_ms,2036_incr_det_ms,2036_incr_med_ms,2036_incr_high_ms,2037_incr_det_ms,2037_incr_med_ms,2037_incr_high_ms,2038_incr_det_ms,2038_incr_med_ms,2038_incr_high_ms,2039_incr_det_ms,2039_incr_med_ms,2039_incr_high_ms,2040_incr_det_ms,2040_incr_med_ms,2040_incr_high_ms,2041_incr_det_ms,2041_incr_med_ms,2041_incr_high_ms,2042_incr_det_ms,2042_incr_med_ms,2042_incr_high_ms,2043_incr_det_ms,2043_incr_med_ms,2043_incr_high_ms,2044_incr_det_ms,2044_incr_med_ms,2044_incr_high_ms,2045_incr_det_ms,2045_incr_med_ms,2045_incr_high_ms
30250.0,Aurukun,8.0,0.0,0.0,8.0,0.0,0.0,8.0,0.0,0.0,8.0,0.0,0.0,8.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
30300.0,Balonne,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30370.0,Banana,18.0,0.0,0.0,18.0,0.0,0.0,18.0,0.0,0.0,18.0,0.0,0.0,18.0,0.0,0.0,8.0,0.0,0.0,8.0,0.0,0.0,8.0,0.0,0.0,8.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30410.0,Barcaldine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30450.0,Barcoo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30760.0,Blackall Tambo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30900.0,Boulia,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31000.0,Brisbane,1821.0,778.0,91.0,1821.0,778.0,91.0,1821.0,778.0,91.0,1821.0,778.0,91.0,1821.0,778.0,91.0,1511.0,645.0,75.0,1511.0,645.0,75.0,1511.0,645.0,75.0,1511.0,645.0,75.0,1511.0,645.0,75.0,1566.0,669.0,78.0,1566.0,669.0,78.0,1566.0,669.0,78.0,1566.0,669.0,78.0,1566.0,669.0,78.0,1533.0,655.0,77.0,1533.0,655.0,77.0,1533.0,655.0,77.0,1533.0,655.0,77.0,1533.0,655.0,77.0,1620.0,692.0,81.0,1620.0,692.0,81.0,1620.0,692.0,81.0,1620.0,692.0,81.0,1620.0,692.0,81.0
31750.0,Bulloo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31820.0,Bundaberg,298.0,8.0,0.0,298.0,8.0,0.0,298.0,8.0,0.0,298.0,8.0,0.0,298.0,8.0,0.0,266.0,7.0,0.0,266.0,7.0,0.0,266.0,7.0,0.0,266.0,7.0,0.0,266.0,7.0,0.0,219.0,5.0,0.0,219.0,5.0,0.0,219.0,5.0,0.0,219.0,5.0,0.0,219.0,5.0,0.0,138.0,4.0,0.0,138.0,4.0,0.0,138.0,4.0,0.0,138.0,4.0,0.0,138.0,4.0,0.0,96.0,2.0,0.0,96.0,2.0,0.0,96.0,2.0,0.0,96.0,2.0,0.0,96.0,2.0,0.0
31900.0,Burdekin,14.0,2.0,0.0,14.0,2.0,0.0,14.0,2.0,0.0,14.0,2.0,0.0,14.0,2.0,0.0,17.0,2.0,0.0,17.0,2.0,0.0,17.0,2.0,0.0,17.0,2.0,0.0,17.0,2.0,0.0,16.0,2.0,0.0,16.0,2.0,0.0,16.0,2.0,0.0,16.0,2.0,0.0,16.0,2.0,0.0,17.0,2.0,0.0,17.0,2.0,0.0,17.0,2.0,0.0,17.0,2.0,0.0,17.0,2.0,0.0,17.0,2.0,0.0,17.0,2.0,0.0,17.0,2.0,0.0,17.0,2.0,0.0,17.0,2.0,0.0
31950.0,Burke,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
32080.0,Cairns,655.0,35.0,2.0,655.0,35.0,2.0,655.0,35.0,2.0,655.0,35.0,2.0,655.0,35.0,2.0,691.0,38.0,2.0,691.0,38.0,2.0,691.0,38.0,2.0,691.0,38.0,2.0,691.0,38.0,2.0,650.0,35.0,2.0,650.0,35.0,2.0,650.0,35.0,2.0,650.0,35.0,2.0,650.0,35.0,2.0,550.0,30.0,1.0,550.0,30.0,1.0,550.0,30.0,1.0,550.0,30.0,1.0,550.0,30.0,1.0,514.0,28.0,1.0,514.0,28.0,1.0,514.0,28.0,1.0,514.0,28.0,1.0,514.0,28.0,1.0
32250.0,Carpentaria,4.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
32260.0,Cassowary Coast,106.0,9.0,0.0,106.0,9.0,0.0,106.0,9.0,0.0,106.0,9.0,0.0,106.0,9.0,0.0,89.0,8.0,0.0,89.0,8.0,0.0,89.0,8.0,0.0,89.0,8.0,0.0,89.0,8.0,0.0,93.0,8.0,0.0,93.0,8.0,0.0,93.0,8.0,0.0,93.0,8.0,0.0,93.0,8.0,0.0,92.0,8.0,0.0,92.0,8.0,0.0,92.0,8.0,0.0,92.0,8.0,0.0,92.0,8.0,0.0,89.0,8.0,0.0,89.0,8.0,0.0,89.0,8.0,0.0,89.0,8.0,0.0,89.0,8.0,0.0
32270.0,Central Highlands (Qld),100.0,3.0,0.0,100.0,3.0,0.0,100.0,3.0,0.0,100.0,3.0,0.0,100.0,3.0,0.0,73.0,2.0,0.0,73.0,2.0,0.0,73.0,2.0,0.0,73.0,2.0,0.0,73.0,2.0,0.0,72.0,2.0,0.0,72.0,2.0,0.0,72.0,2.0,0.0,72.0,2.0,0.0,72.0,2.0,0.0,76.0,2.0,0.0,76.0,2.0,0.0,76.0,2.0,0.0,76.0,2.0,0.0,76.0,2.0,0.0,78.0,2.0,0.0,78.0,2.0,0.0,78.0,2.0,0.0,78.0,2.0,0.0,78.0,2.0,0.0
32310.0,Charters Towers,9.0,5.0,0.0,9.0,5.0,0.0,9.0,5.0,0.0,9.0,5.0,0.0,9.0,5.0,0.0,9.0,5.0,0.0,9.0,5.0,0.0,9.0,5.0,0.0,9.0,5.0,0.0,9.0,5.0,0.0,8.0,4.0,0.0,8.0,4.0,0.0,8.0,4.0,0.0,8.0,4.0,0.0,8.0,4.0,0.0,8.0,4.0,0.0,8.0,4.0,0.0,8.0,4.0,0.0,8.0,4.0,0.0,8.0,4.0,0.0,7.0,4.0,0.0,7.0,4.0,0.0,7.0,4.0,0.0,7.0,4.0,0.0,7.0,4.0,0.0
32330.0,Cherbourg,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0
32450.0,Cloncurry,7.0,4.0,0.0,7.0,4.0,0.0,7.0,4.0,0.0,7.0,4.0,0.0,7.0,4.0,0.0,7.0,4.0,0.0,7.0,4.0,0.0,7.0,4.0,0.0,7.0,4.0,0.0,7.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32500.0,Cook,18.0,2.0,0.0,18.0,2.0,0.0,18.0,2.0,0.0,18.0,2.0,0.0,18.0,2.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32600.0,Croydon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32750.0,Diamantina,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32770.0,Doomadgee,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32810.0,Douglas,88.0,0.0,0.0,88.0,0.0,0.0,88.0,0.0,0.0,88.0,0.0,0.0,88.0,0.0,0.0,82.0,0.0,0.0,82.0,0.0,0.0,82.0,0.0,0.0,82.0,0.0,0.0,82.0,0.0,0.0,75.0,0.0,0.0,75.0,0.0,0.0,75.0,0.0,0.0,75.0,0.0,0.0,75.0,0.0,0.0,69.0,0.0,0.0,69.0,0.0,0.0,69.0,0.0,0.0,69.0,0.0,0.0,69.0,0.0,0.0,66.0,0.0,0.0,66.0,0.0,0.0,66.0,0.0,0.0,66.0,0.0,0.0,66.0,0.0,0.0
33100.0,Etheridge,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33200.0,Flinders (Qld),2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33220.0,Fraser Coast,501.0,38.0,0.0,501.0,38.0,0.0,501.0,38.0,0.0,501.0,38.0,0.0,501.0,38.0,0.0,396.0,30.0,0.0,396.0,30.0,0.0,396.0,30.0,0.0,396.0,30.0,0.0,396.0,30.0,0.0,284.0,21.0,0.0,284.0,21.0,0.0,284.0,21.0,0.0,284.0,21.0,0.0,284.0,21.0,0.0,172.0,13.0,0.0,172.0,13.0,0.0,172.0,13.0,0.0,172.0,13.0,0.0,172.0,13.0,0.0,114.0,8.0,0.0,114.0,8.0,0.0,114.0,8.0,0.0,114.0,8.0,0.0,114.0,8.0,0.0
33360.0,Gladstone,259.0,3.0,0.0,259.0,3.0,0.0,259.0,3.0,0.0,259.0,3.0,0.0,259.0,3.0,0.0,218.0,3.0,0.0,218.0,3.0,0.0,218.0,3.0,0.0,218.0,3.0,0.0,218.0,3.0,0.0,211.0,2.0,0.0,211.0,2.0,0.0,211.0,2.0,0.0,211.0,2.0,0.0,211.0,2.0,0.0,194.0,2.0,0.0,194.0,2.0,0.0,194.0,2.0,0.0,194.0,2.0,0.0,194.0,2.0,0.0,178.0,2.0,0.0,178.0,2.0,0.0,178.0,2.0,0.0,178.0,2.0,0.0,178.0,2.0,0.0
33430.0,Gold Coast,1217.0,812.0,128.0,1217.0,812.0,128.0,1217.0,812.0,128.0,1217.0,812.0,128.0,1217.0,812.0,128.0,1087.0,725.0,115.0,1087.0,725.0,115.0,1087.0,725.0,115.0,1087.0,725.0,115.0,1087.0,725.0,115.0,1094.0,730.0,115.0,1094.0,730.0,115.0,1094.0,730.0,115.0,1094.0,730.0,115.0,1094.0,730.0,115.0,1042.0,695.0,110.0,1042.0,695.0,110.0,1042.0,695.0,110.0,1042.0,695.0,110.0,1042.0,695.0,110.0,1006.0,671.0,106.0,1006.0,671.0,106.0,1006.0,671.0,106.0,1006.0,671.0,106.0,1006.0,671.0,106.0
33610.0,Goondiwindi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33620.0,Gympie,254.0,18.0,0.0,254.0,18.0,0.0,254.0,18.0,0.0,254.0,18.0,0.0,254.0,18.0,0.0,134.0,9.0,0.0,134.0,9.0,0.0,134.0,9.0,0.0,134.0,9.0,0.0,134.0,9.0,0.0,101.0,7.0,0.0,101.0,7.0,0.0,101.0,7.0,0.0,101.0,7.0,0.0,101.0,7.0,0.0,77.0,5.0,0.0,77.0,5.0,0.0,77.0,5.0,0.0,77.0,5.0,0.0,77.0,5.0,0.0,54.0,4.0,0.0,54.0,4.0,0.0,54.0,4.0,0.0,54.0,4.0,0.0,54.0,4.0,0.0
33800.0,Hinchinbrook,25.0,0.0,0.0,25.0,0.0,0.0,25.0,0.0,0.0,25.0,0.0,0.0,25.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33830.0,Hope Vale,4.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
33960.0,Ipswich,2199.0,370.0,0.0,2199.0,370.0,0.0,2199.0,370.0,0.0,2199.0,370.0,0.0,2199.0,370.0,0.0,2801.0,472.0,0.0,2801.0,472.0,0.0,2801.0,472.0,0.0,2801.0,472.0,0.0,2801.0,472.0,0.0,3420.0,576.0,0.0,3420.0,576.0,0.0,3420.0,576.0,0.0,3420.0,576.0,0.0,3420.0,576.0,0.0,3651.0,615.0,0.0,3651.0,615.0,0.0,3651.0,615.0,0.0,3651.0,615.0,0.0,3651.0,615.0,0.0,3632.0,612.0,0.0,3632.0,612.0,0.0,3632.0,612.0,0.0,3632.0,612.0,0.0,3632.0,612.0,0.0
33980.0,Isaac,57.0,0.0,0.0,57.0,0.0,0.0,57.0,0.0,0.0,57.0,0.0,0.0,57.0,0.0,0.0,52.0,0.0,0.0,52.0,0.0,0.0,52.0,0.0,0.0,52.0,0.0,0.0,52.0,0.0,0.0,62.0,0.0,0.0,62.0,0.0,0.0,62.0,0.0,0.0,62.0,0.0,0.0,62.0,0.0,0.0,64.0,0.0,0.0,64.0,0.0,0.0,64.0,0.0,0.0,64.0,0.0,0.0,64.0,0.0,0.0,68.0,0.0,0.0,68.0,0.0,0.0,68.0,0.0,0.0,68.0,0.0,0.0,68.0,0.0,0.0
34420.0,Kowanyama,3.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
34530.0,Livingstone,205.0,36.0,0.0,205.0,36.0,0.0,205.0,36.0,0.0,205.0,36.0,0.0,205.0,36.0,0.0,300.0,53.0,0.0,300.0,53.0,0.0,300.0,53.0,0.0,300.0,53.0,0.0,300.0,53.0,0.0,275.0,49.0,0.0,275.0,49.0,0.0,275.0,49.0,0.0,275.0,49.0,0.0,275.0,49.0,0.0,220.0,39.0,0.0,220.0,39.0,0.0,220.0,39.0,0.0,220.0,39.0,0.0,220.0,39.0,0.0,138.0,24.0,0.0,138.0,24.0,0.0,138.0,24.0,0.0,138.0,24.0,0.0,138.0,24.0,0.0
